user,commentText
JoeRieper,"Don't alt tab in the spawn island, because it might leabe you there, and not get you into the plane. I have record about that, but my mobo is broken. If someone wants that material, hmu and I will give a link or something to that material when I get my pc working again."
Ech0_27,Thank you for the great tips Fugglet
TnTcyclesPDX,great video man
GodIsEverywhere,I LOVE YOU ! <3
hoppetoss,just wanted to say that you can still jump out of cars whilöe driving you just need better timing ande you need the tree/object to be right in front of the driver seat door
Johnny He,"tip 101, you can always eat chicken dinner if you order chick from kfc."
Kershmerkles,"This is a satisfactory video, Fugglet."
Jiaqi Lu,"Tip101: To be a potato man, watch fugglet twice a day"
Christian Larsen,"I'm pretty sure they stealth fixed the 1 hp lvl 3 helm thing a while ago, I've been oneshotting lvl 3's in the head for quite a few weeks now."
Guy Harel,"Looking for help here guys, tried many other places it just didn’t work, my computer is pretty good, I average 120 FPS on some good settings (even tho I don’t need that much) but for some reason yesterday when I played whenever I opened some dead guy’s loot crate it dropped so much and I don’t know why. Like I could barely move it was so low, but the FPS bar still showed high 70... any suggestions?"
Ratchet Bear,"151,000 subs*"
john Hible,You said punch out tires twice
twattythirky,tell me about a puppy
Matthebest,"CTRL+M for mute, not ctrl+t"
Святослав Хоробрий,"7:00 Go straight
What do you mean? I'm already straight."
Exotic 33,Swimming backwards makes you go a little faster.
William Schrader,In FPP face the way an enemy is most likely to come from when getting a teammate up
Kenji Schroeder,Can we see all your graphic settings and brightness and things like that?
JayRay00,"Wow I used to go to Spawn Island to loot in peace, now there's practically nothing there?"
Jaysius,Am i the only obe that didnt learn that much by this can you do more advanced next time i know you got some
ewokoncaffine,"In my experience superman punches are hard to land, unless you are desperate don't rely on it. I have found I win most punch fights if you just aim above the head and get HS. (doesn't work as well on helmets)"
k l,"Just a few things there Fuggman - you have 'punching out tires' on here twice, and the first instance of telling players about muting the game, you stated Ctrl+T (which just mutes voice chat - later on you mention this). Great stuff as always!!"
SwingKing,hey Fugglet where are you from
inoox,"That roof spot, I had to do that to get a crate that was on that roof!"
bboysmoke,8:55 CTRL + M *
KaiserSpookster,You mentioned punching out tires twice.
Franco Music,let's suppose you are writing a really important email to a colleague
My slaps are out of this world,"""All the loot on these tables disappears after you enter the plain."" NAAHHHHHHHHHHHHHHHHHHHHHHHHHH"
xLegend 89,LITERALLY EXACTLY WHAT I WAS LOOKING FOR 😂😂😂. First thing I saw as I opened up YouTube. Love you fugglet.
beep boop,punch out tires was said twice
My slaps are out of this world,"This isn't tips and tricks, this is 100 facts, because knowing ""fastest falling distance"" isn't gonna help me to improve.."
Edvin,U mentioned punching tiers twice
MR_6,"fugglet join my squad we are looking for someone, we are all top 500 NA in FPP"
The Average Churro,Clothes increase your carrying capacity c:
Johnny tare rio,Tire punch twice. Tire punch twice.
CrackahJackk,I literally choked on number one. I swear I tested that out and it didn't fucking work for me. Thanks for the video Fugglet
TShark,I️ love it when he says “Potato”
Arya,Thanks for letting me know I can punch tires twice. Really got through
Kat Mechs,5:05 PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED PARASHUTE SPEED
TubbyTimmy,Does the airdrop always drop 2 crates?
Falc0n,"To mute the ingame volume, it is Ctrl-M not Ctrl-t. Ctrl-T mutes voice chat"
Agdor,8:55 CTRL + M not CTRL + T
CozierElf0,"8:33 You it is impossible to shoot through water in reall life, withe speed that the bullet travels and the density of the water when they both meet, the bullet is slowed to a complete stop in only a few inches of water. Search on here a video where the mythbusters shoot guns in water, youll see its physically impossible."
Rewbin,"8:55 its ctrl m by default, ctrl t mutes the game chat, and ctrl y to change the voice channels"
duden178,Holy so much Tips :D. Thanks for the tips!
It'z Ocean,8:55 He means Control+M
Nesrof,Nice video
A- Negative,"Possible others: the silencer also is a flashhider rendering the flashhider irrelevant if you have a silencer/snip. Both do improve deviation this was confirmed by devs but not compensation. It feels like it does, and people are used to it from other games like cod but it doesn’t. The airdrop nudge of death-Driving up to a drop on ground if someone is there hiding behind it before you just tap it with the car at a decent speed- it moves the drop just enough to kill them. We have all died to that. Kar98 bullet sleeve over cheek pad- the benefits of the sleeve vastly outweigh the cheekpad as a bolt action rifle. Also the compensator is almost practically useless on the Kar98, and other bolt actions. Other attachments have more benefits on these guns. Don’t ads shotguns, esp the sk12, which does make a nice secondary esp as it holds as you mentioned all the scopes and silencer so easy to scope swap on the fly. The Uaz is pronounced Lou-ahzz. Yeah with an L...crazy (Check out survival Russia YouTube channel he rebuilt one and all the Russians pronounce it that way on there.) You can zero tommy guns and other smgs to be more effective beyond the 50 it starts at. Don’t be a Fugglet- bind your first aid and boosts. ;) Good idea to carry 3-5 bandages if you are a noob and might get caught in blue as the deploy time might save your butt and buy you time to use first aid/ med kit. Jumping to reduce foot noise. If you are playing duos or squads everyone take off their shoes and you’ll be able to determine footsteps are your team easier over anyone lurking. Fugglet: Replace second tire punching tip with your jumping out of boat tips. Also you can mitigate fall damage from heights by using other things in the  environment easily- pubg parquor. You can put a car on a boat, as well as a motorcycle, if careful and take it across to island or mainland it’s a team effort but you can find videos of it. Motorcycle, Dacia, buggy, Uaz. As far as top speed. But each sucks or excels at something to make up for speed or lack of. If you can get two or more boats out on the water side by side in duos or squads it makes for a really fun sniper platform. The character movement(foot sway for example) you see your character do while prone or medding is client side only. No one else sees it.  Reloading, healing and boosts make a lot of noise - this doesn’t seem to be as well known as I catch people all the time that way. Molotov is highly underused; it’s great to block stairwells for reviving teammates or to trap a player. You used to be able to trap someone in a fap shake with a uaz or Dacia Parked in front of it backwards- haven’t done for awhile though. Super dick move. :)"
Pilot Twist,great video as always
Ensio Selkälä,confirmed Fugglet is a communist
Blazinggg,Congrats on 150k bro I’ve been watching since u were at 20k and u have been growing an insane amount congrats and keep up the good work
JuicyMemesLord,"And videos like this are exactly the reason why every fucking idiot can get a win in this game....nothing skill anymore
Let the people fucking learn on there own...
Dont get me wrong i love your videos dude but just let them learn on there own"
TBtrewq,What i often do at the hospital or school. Just every big bilding with roofs. If I manage to kill or escape the most players and only 1 or 2 are left. I grab a gun and chill o the roof trying to spot other Players looting. As soon as they show up I know exactly where there are and it's easy to kill them .
vartsa 19,punch was mentionet twice
Joe Murray,I love you for doing this free. Some people online were charging people for tips it's crazy!!!! You're a legend
.:98Niicko89:.,It's funny coz I don't play pubg but I watched anyways
OriginalSycan,You can shoot through the small cracks in the destructible huts by the side of the roads.
SHABADOO,Jumping on hills was nerfed in the TTS. That tip won't work in the 1.0 version of the game.
Not My Name,10:10 is incorrect. I did jump out of a moving vehicle at 80km/h. You just need to hit a wall before you hit the ground.
Psypath _,Control + M is for Muting the game! Great vid bud <3
Mads,You said that you could punch out tires twice in the video
Mads,15:07 your mic CUT off
FiftyMango,13:28 holding the left key? does he mean left click? i didnt know this and will use it all the time now
ultra carlos,"CTRL + M to mute master volume, and CTRL + T to mute voice chat"
Chillikiwi,Thank you
JozyBoy,two videos in one day? Your the best Fugglet!
Mads,8:56 Did you mean CTRL+M?
NBA Replay,"18:20 

In my experience, crossbow did not os level 3 helmet"
ESN Productions,Potato
Sahaj Chandra,"Yo fugglet small error. To mute the plane it is ctrl+M, which is master volume. All ctrl+T does is mute the chat and people talking. Also, ctrl+Y changes your voice channel, from Team Only, None, and All. Love the channel keep up the great work my man."
Some One,punching out tires x2?
Reddude256,At 5:24 you can see there is no texture and its just the plain unreal engine map  lol
Soragan,"i didn't understand ""small weapon top slot"" what does it change ?"
addam hussein,99 *
James Campbell,You da man
Haha haha,"Another tip

Don't trust your team mates"
PantySmasher,8:56 Isn't Control + T for muting voice chat?
NBA Replay,"Even if after hundred and hundred hours I know most of them, that must have taken long time to do this vid, very good job !"
ayy lmao,9:00 CTRL+M*
Grezzy B.,"For me, ctrl+t is mute voice and ctrl+m for game volume"
HAPPY,Another Tip for vaulting. It is possible to reload by vaulting
TreeStand,"Naisu, it help me alotuuu"
ahmet furkan yildirim,"Do all these strats to ""make yourself less visible"" by changing backpack n shit and then you just play out in the open anyway"
CrimeMiz,"You said ctrl+T mutes the plane then later said ctrl+T mutes the mic chat, it's ctrl+M for master volume/plane for those wondering :) Good work fuggie <3"
Sebastian Rendel,Good video!
shimba90,"You can crouch jump in 1.0 (at least you could on test-servers). You just need to do it earlier than now, or else it will ofc trigger the vault."
Jeroen Tjassing,"U actually can pick up the airdrop which landed outside of the wall, just press tab at the space where it would be if it was inside the walls and u can see inside the container and still pick em up even tho they are far away from you."
dnxjcui,"My default controls for muting master sound were Control + M, so yeh if ppl have my default controls that's the control."
Psclly - MC,8:20 it's tour d'apartments :D
Cubemil,9:00 ctrl m
Michael Gazzara,"The tip at 9:00 isnt right thats how you mute people ingame which is just as useful really its ctrl+M to mute the game itself also ctrl+y changes who you can hear so everyone, no one or your team turns out you mention the ctrl+y thing later and that you mute people with ctrl+t"
Rob S.,Many of these tips will become irrelevant after vaulting update
HZWN NZR,Nice Fug. I'm to totally agree on the suppressor vs compensator. I always prefer compensator over the silencer.
Jon Tan,awesomne...Thank you
sherm dog,Congrats on 150k subs.
KIKOFUS,one shot sniper! take ur time!
Kordikk696,Muting the sound is CTRL + M and chat is CTRL + T
SpeechleSSGaming,"i mean some of them are like
......"
GWeekly,"Helped alot , thanks man <3 ya"
RISHAV BARDHAN,"The M416 has great irons. A sight is not really needed for this gun, at least that's what I think.
And here's a fun fact that I came across on Youtube: IRL, suppressors increase damage because the added barrel length gives the gunpowder more time to burn, thereby increasing velocity and hence damage. Also, it reduces recoil to a certain extent. And it does something else that I don't remember. Here's a link to the vid: https://www.youtube.com/watch?v=LWK2jHG5XfE"
RastaRocker614(2.0):D,in the time I watched this you gained 1k subs you at 151k now congratz you the best keep up the great work fucklet :D
Yordnu,"You forgot the most important tip of all. 

Don't be a potato."
Lucas Vindberg,"Det er dejligt endelig at se en Dansker der kan finde ud af noget ;D
Du er den bedste Fuggman!"
ukhippie,"Awesome, thanks for the effort"
MunxFPS,"good job dude, nice compilation of tips."
Zach Goldberg,"Guys it's Control M for muting the master volume, Control T just mutes voice chat."
Colton Dillon,Fugglet you're awesome and you deserve all your subs plus more! Keep up the good work man!
temathy,"8:56 CTRL + T mutes voice chat as default, CTRL + M mutes master volume"
The Robot Pig,You forgot to say that you can punch out tires!
David Chan,0:22 hentai?
RedBearonFire,what's the song at 17:50 ?
Seto0019,"Damn fuggboy. You are growing fast as FOCK
You deserve Every Single sub!"
Someone who wonders,"i loved how you talked so calmly, like you were reviewing flowers or something xd"
Great Value Bleach,So that’s how you cook a gernade!! Over 150 hours and I just learn that (after they changed the mechanics)
Jannis,"10:07 
Hahaha I've seen this on-stream 😂"
Hekaro,I love you fugglet
Yogi TV,u are an aweseme
DONKEY B,congrats 150k!
nicolas kolk,5:02 nice ''parashute'' love your vids
Akdov370,14:39 REPEATED
Einar-Johan Lukkassen,"It’s not the only spot where you can get up on the bridge, you can do it most places"
Nick Kendall,"It's control M to master volume mute, and you can jump out of moving vehicles, you just aren't that great at doing so."
DialoX,"Breaking tires with fist was twice, literally unwatchable"
Akdov370,8:55 ctrl+T ???
W4RRI0R,Suppressed s12k with 15 times is the most op gun
Fixturesc,"Can i call you fuggy?





p l z"
Adventures with the Lion,"Reporting you fugglet, I caught some fan service at 5:45 that ain't good man. Showing it off like that I'm so disappointed in you"
paul Nachbar,For me Jumping out of vehicles still Works without Getting damaged :O
Akdov370,annoying REEEEEEEEEE
Stian.Corenthin Beaudoin,i remebre that i was your nr 11 sub  god times
Catalin Florin,8:57 Control + M*
as sd,you can push beached boats back into the water with a buggy. saved me before when zone goes military and people beach them to hinder you.
Pezby69,"Best PUBG channel on youtube.. Gratz on 150K mate, well deserved"
Yakir R,10:04 da fuck
dom sturman,Well deserved 150k. And you deserve many more! 👍🏻
8 liam,Fugglet is our god
Groden,Did Nvidia sponsor you?
Max Hammerum,Guys for game mute its ctrl + m not T
Adam Watkins,"Cheers bro, actually helped a lot"
David,Amazing babe
TheGinjaShark,You have no recoil while prone
Azel Asd,"btw fuplet, loot on the go only work if you're not lagging."
sad meme boi,"9:57 ""here is the proof"" lmao the fuckin ingame stats have been unreliable since day 1.

10:09 ""and here is the proof"" you jumped out way too early. Still doable.

11:55 with a compensator it's managable by a decent player.

14:37 yes, you've mentioned that tip twice."
ruhus,a fat video from fugglet is what you need everyday
Alexander,"Also another tip, a ghuille suit hides your backpack!"
Adam Howitt,hang on i thoguht it said 100 but there were 99 DIFFERENT tips but you said the punch out tires twice.  you thought you could con us but i found out your wicked ways
Yash Budhiraja,Tfw when you've been subscribed since 2.5 k and played with him on his first stream ever
Joe Garner,Thanks for all the tips. Love the vids.
Anaalileipä,Ctrl + M to mute Master volume not ctrl + t wich mutes the voice chat
Johnny ツ,Ohh! What is the background music? It's awesome! <3
PURE Electricity,whats your graphics settings?
Simon Becker,Punching tires is in there twice
Sandmandotpsd,"178 hours and  I still learned something, thanks Fugglet!"
Andero,you did punch tires out at least twice good video
alu/ninew0rks,"damn so much work buddy :), congrats on that 150k!"
delstrs,"""I've got hundreds of hours playing pubg, I'll know all of these tricks."" *he says the first trip ""Well damn!! I didnt know that"""
Redo_HD,2nd Trick is also on the other bridge possible
Aleksandras Miksenas,Challenge: win with only a sniper rifle all other items allowed
m0st,I love your channel so much im waiting so much for the next video!!
Alexander,"9:00 its control-M not T, T is for voice chat"
Greg Yule,Mentioned tire punching twice!!
gus,"I bet you ill get a chicken dinner with these tips. Great vid, +1 like"
Log Dog,"8:55 Actually it's CONTROL+M, CONTROL+T is for voice chat."
ironfixxxer,Awwww  yea!  Congrats on finally getting your new PC!!
JP Lowe,Punch out tyres fact twice ehehe cheeky
Phúc Lê,"Very useful, Thank you Fugglet"
Eliott Tolila,Thanks.
Pinecone EU,"Mute the game is ctrl + M, ctrl + T is voicechat. You accidently said the wrong thing in the video."
CrispyCat,This Video is GORGEOUS
Austin Elliott Wongso,"Guys come on, 151K screw that let's aim for 1 million! EZ HE is the best PUBG youtuber of all time. LV U Fugglet! Keep up the good work! <3
PS: I DARE U TO PIN THIS! XD"
Theofanis Topalis,so much effort. good job and thx for making great videos! i rly enjoy them watching=)
Dirtmax,Here's a challenge for you to do. No sound challenge. Please do!!
Flamy kys,Awesome video! :D
expertpoods,Fug you said control t mutes game    pls fix
Nils Kaspersson,This was just 99 tips; you repeated the tire punching tip. I demand my money back!
Otzdarva,2:36 This man is a VSS expert if I've ever seen one
limbros,You are a legend man
Marvvix,2x tires :)
Valhalla _,"The most helpful PUBG video to date, far better than any other ""tutorial"" or ""how to"" videos I've seen so far.
Thanks a bunch, Fugglet! You're amazing! <3
Much love from Germany."
Josip Tušek,Im really enjoying your content!!!KEEP UP GOOD WORK
GiantGu,"i think i've got the hardest challenge ever for you dude 
THE FistFinish 
kill the last enemy with your Hands
the rest of the round you can Play normal but when you think it's to eZ like this add some more rules like you are not allowed to use Assault rifles 

(sry when my english wasnt 100% correct, im from Germany yk)
alright see ya

maybe for your 2k abo special"
Matas Valikonis,Who else is here before 100k?
DAce SPisco,I think Mute is Control + M
Madja,"Calling your teammates by their color, does it affect people who use colorblind settings?"
Dsong,Good job
cme1478963,"I Think you had “punching out tires” twice. And btw, i read somewhere that the jumping up Hill will be removed from update 1.0"
Kit k,"I have a challange for you, you can only shoot while laying down. great content btw"
Michael Rudiger,Good job Fuggi.
Eu gosto de hipopotamos,the mute master volume is CTRL M and to mute voice chat is CTRL T
Winged Knight,Does anyone know if there is a way to toggle and untoggle ADS?
ItsAlien088,I did not know the max speed doing down from a plan is 234km/h
Joshjpb,you said that you can punch out tires twice xD
geras shenanigans,"99 tips, punching the tires was mentioned twice :) Still a great list!"
Zyno,Punching out tires with your first was menitoned twice ;d
Sneeki_breeki,Plz make guide on airdrop hunting
Anton,You said that you can punch out tires with your fists twice
Josh Mcmurphy,U said u can punch out tires twice
R4ge,"8:56 Its Control + M
Control + T is for voice chat"
Leedino,Ohala
Maxpax,i knew all of theese -_-
TryHardAxeL,9:04 ctrl+m*
Mauro Boer De,i understood that you can punch out tires when you said it the first time ;)
Tfoe a sahbi,Challenge: win a game with all sounds muted
Måns Ehrengren,mute is ctrl m not ctrl t and you put that you can punch tires 2 times but love you and your vids
LyricsIsGood,"My man! 1 thing tho, isn't ctrl + m to mute sound, and ctrl + t to mute players?"
MrLovaLova,"Most of them aren't that usefull, when you will be teaching us tactic decisions ?"
Xen,Ctrl m not ctrl t. Ctrl t mutes chat
Jonathan Liao,been here when you only had few thousand subs but now damn 150k subs. Nice job fugglet I was busy in school soo thats why I am shock hahah keep doing vids enjoy every single one.
Durpio,"CTRL + M is muting sounds, not CTRL + T, thats voice."
Akshat K Agarwal,This video was 20% punching out tires I swear
Akshat K Agarwal,Fuggreed calling out players for being greedy. Well done mate xD
Figge Guttormsson,u Are the best Pubg youtuber i think but was it only me that heard he said punch tiress two times?
Jinx,You showed puncing the tire twice
Honesty Gaming,Hey fugglet i understand money on youtube is scarce but can you PLEASE take the mid-roll ads down to 2-3 instead of 4? its really annoying and i hope you understand
EaSSy,Sick bro! Thanks '3
Henning Boom,"You can mute the game with ctrl + m and not ctrl + t, you ment the right thing but said something else x)"
Oscar Larsen,Very good tips! I like you
Pocky,"Great video! Not to be that guy, but you said you could punch out tires twice, and that mute master volume is ctrl + T, its actually ctrl + M."
Mocsikaa.,Nice tips and congrats for 150k :)
Joe Kuhnert,The parachute trick about not having to go 234 blew my mind
Da Captain,Zooming in on sights using shift
Coolandniceyear Bob,Ctrl + m to mute game. T is for voice chat as you also mentoined. <3
Samuel Wagner,Super nice video
wayne mark Caberoy,"Congratz dude! Always great content. Also the mute button is control M not control T, control T mutes the chat."
Selin,you said punch out tires two times lul
Dev Suwaidy,8:54 | It's Ctrl + M :)
Raffael Bühler,Now the question is: can you puch out tires with your fists? :p
Cadix,Did u repeat punching tires is possible twice?
Inter's Odyssey,"I do not understand the first tip.  Were people thinking diving faster would take them closer to the ground?  Parachute deployment is AGL.  If anything, in real life, diving faster would mean you would need to open your chute *earlier*."
Neelesh Kumar,12:18 HOW THE HECK DID YOU GET THERE ?
Tyler Smith,Hi love you
Jinxyz,"Ctrl + T is for muting voice chat, Ctrl + M is master volume"
Guy Jr,punching out tires was in twice
Francisco Gomes,Legend
DanGeR_4K,Cool Video Keep it Up Fugglet ;)
Siow,"1:00 there are actually 3 spots like this at each end of both bridges, you just have to walk along the fence a bit."
Toxic Studios,Higher FPS guide?
Oscar Larsen,Puch out the tires :D so important that u had to say it few times ? :D
Matze,on 8:56 it is Ctrl+M or not?
Halsi,"BTW: Supressors DO somewhat compensate, they change the behaviour of the gun while hipfiring slightly, Playerunknown approved that. The stat that changes is called deviation and it is reduced by 5%."
Alexandru Tănase,I'm early today. Like if you are early too.
ZeR0,"Hello Fugglet, congrats on your 150k subs! I am glad that i am one of them"
Suviet Onion,"I'm early, but there's still 11k views..."
Neelesh Kumar,10:11 he was having GROZA and M24 and he still died from falling out of vehicle just to take a clip for his video !! RESPECT Mr. FUGGLET
draakon98,"tire punching came twice, great vid tho"
Cyvix,I got a tip/trick pans can only one shot headshot level 2 helmets and below
William Jansson,YEEEEEßSSSSSSSAA
obdurare,"8:58 it’s ctrl + m, not ctrl + t :)"
Co2gaming !,A good job
SCHNÖSCH LOHAL,OMFG :o AND NOW UP TO 200K!! <3
Olli Peltonen,"But if I set the view distance on very low, doesn’t that handicap my ability to see far?"
Whobody2,Tip number 101: Subscribe to Fugglet.
Sgt BadassPt,Fugglet can we play duos one day ?
Gaby,100 very good tips ! I loved the 50 ones about punching teers !
socialphobia,u said that u can punch tires 2 times
ville martiskainen,Challenge: Win a game without healing items.
NickF,"Why should we change view distance in very low? The most famous players like shroud,summit1g have it in medium."
Jsuz Ghost,What is left key?
PureHeart,Literally the first fucking tip I didn't even know and that looks so helpful it's not even funny. And I have 215 hours in the game so I'd be considered experienced. No wonder this video has a like ratio of 1000+ : 7 . Love you Fugglet
xlReap,8:55 Ctrl M bro ^^
Petrus Rauhala,Punching tires was twice
JuanBolt,isnt the view distance effecting the distance you see players too?
Marcus Rottingen,You used the same tips like 5 times lol
MrSchwimmbagger,@Fugglet  But can you punch out tires?
Ramie,Pochenkay
Ben Brown,"AKM on test servers... the recoil is so much nicer, it seems to actually have some form of spray pattern."
Martin Bouju,Do you use reshade men  ?
Louis Yang,Great video as always and noice evolv case
oZonnne,CONGRATS ON 150kk Subs !!!!!!
DaSaster,Did you know you can punch the tires?
Hodor,Can you make english captions
Roni Väärälä,mute with CTRL M not T
Sir_Syndicate,Much appreciated!! Hope you know that :)
vinjar suhr,the volum is ctrl m
Velica,You mentioned the punching tires tip like 3 times. Anyway great video.
Hi Im Tempest,"WOW , very useful thanks dude!!!!!!!!"
Martin Váš,How to run with freeholds ?
Wraith,Good vid man
Mestari Tick,"Im annoyed always you say ""Notn"" 10:00"
Oman808,What does the player rendering do?? What happens when you turn it off
Akatsuki Pain,;)
DaChipser,"11:55
I love it"
danified,Link the music in the description pls I want it :)
Tarkov,"Fugglet, Its ctrl and M for game sound but ctrl T for voice chat"
Rom,i love your videos!
Smirnov Romet,What graphics do you use?
Figment Studios,"Thanks man, this was really interesting 😂"
Dafque,LOL CHANGE OF VOICE AT LIKE 18 MINS
muhamad hasan,"what is the best brighness to put on in fog games? i feel like if you put the brightness lower, you can see more?"
SkyGold,Wubnerful
kattah,i was always scared to use or waste awm bullets but thx now im gonna shoot it alot
UrbanBlazeNyan,Hey Fugglaaat you said punching out tires 2 Times ;D
Josh Day,"I swear it's control + M to mute master volume, or is that just my keybind I forgot about?"
ChaosOnTour,"""U don't need all the gear lategame so drop it""
- Fugglet in 2k17 while carrinyg almost 300 rounds 5.56 every game when there's 10 people alive.

You're amazing dude, I wish you the best of fortune for your channel."
Miska Leppänen,"Fugglet can you help me with my 3pp leaning problems? My screen goes to like inaccurate ripple thingy just when i press right click of the mouse,not ads:sing or just only peek. If rightclick and peeks cant see non. It turned like that about month ago after some dumb ass update. Thanks if you answer and get me"
Swag Lord,Isn't muting the game control m? I forgot but that's what I thought it was
Jacob Christiansen,"Nice video Fugglet, just awesome <3"
Sevos,"Lol last time I was here you had 40k lmao, congrats"
Toblerone Fondu,Are you gonna do this on the new maps ?
Plofman.ツ,Congrats man! You really deserve it my scandinavian friend!
Shinda Haisha,"Great content as always Fugglet :) I'd be interested in a late game guide. How to take the best decisions in the top 10, where to go, what stuff to drop what stuff to keep... Thanks :)"
Tunir007,You forgot to add that you can punch out tires with your fists!
Gustav Hübner,"Heya fuggmaaaaann,
I just discovered a big when climbing up hill 
U can just „alt“ and watch behind you and then press spacebar if the Hill is steep enough and u are watching behind you u will just slide all the way up 
Pretty cool trick and if never saw anyone use it 

As soon u release „alt“ it will stop!

Ps pls rate this comment up so he will see it :) 


Have a nice day"
xayoz,You said a lot of things you said in your previous videos
Beast Drops,"Love your channel man, keep the good work up!"
LaIYeZZ,Have been subscribed sins 900 subs Keep up the good work
Eirik Ei,Mute the sound is Control+M :D
Bad man,REALLY HELP!!!
תומר רוזן,fugglet do you love me?
Mestari Tick,150k Congratz 💓
Middy,Hey Fugglet i want to say this i love your videos thanks a lot man !!!
SlothySlothTV,you put the punch tires thing 2 times
Žiga Terzič,"you listed the ""punch out tires with fists"" twice .)"
AvX' Dark47Killer,8:56 it's not CTRL T it's M :)
DeezNuts,7:10 lol there was 38 alive and there was 38 ammo lol
William Leo,"@Fugglet next time you make one of these videos and you don't have clips for everything, ask the community/fans to help you! Maybe you didn't have a clip for focusing the driver but someone else had, use discord so people can send them in. just a tip."
Lil' P1ckle,you said punch out tyres twice :p
Jogo,which gpu's do you have?:D
Javen,This is amazing
RmuinyEG,"at 8:59 it's supposed to be CTRL+M, not CTRL+T to mute game sound."
Grapeh,15:05 YES
Caspian Wiley,"wow i watched this with my friend at 5 likes, one min later i go to the vid to be the 17th like, and theres 435 likes!"
Zifta,fuggman u are beast
The Dataking,http://steamcommunity.com/profiles/76561198181450718 pls add mig på steam
Ahxel,I love you fugglet <3
Sondre Bjørndal,"Master volume mute button is not ctrl+t, thats voice chat mute. master volume mute button is ctrl+m."
Rxpev,"Im early so Here a Joke





PUBG Optimizion"
King Lobster,Ctrl + M to mute game volume - Ctrl T to mute voice chat volume*
xDerangedLama69,Merch plz now thx
Mikołaj Brzeziński,You mentioned punching wheels twice :)
Vũ Võ,hi Fuggletttttttttttttttttt on Twitchhhhhhh
IAM GORT,Glad you got your new PC from Ironside mate.  Enjoy...you deserve it!
bbybear712,"If your new to PUBG or just want to get better, Fugglet is the one to trust! Great vid"
Dominic Fage,mice vid
Nils Lorand,CTRL+M to mute btw
Envo,0:09 Pretty god for one POTATO that you call :D
Otirach November,Can you do a face reveal?
Experience,"Yay he did my team color one (i think, because i recommended it)"
Hamster ツ Sebbo,Yo deserve the 150k! Much love from Germany & i bet from all over the World!
cheeseburger,yes!
Gabriel David,Nice Fugg!=)
Monica Bellucci,Nice quality
Karl Karl,Wow 2 vids in a day.
Geckomaniac 3,hell fucking yeah finally
Tobi.,i love you fugglet <3
ru5t,GREAT AS USUAL FUGGYBOI
Lil' P1ckle,150k subs = 150 tips and tricks duh
MrLovaLova,8:55 Ctrl+M*
Vinzent,Awesome idea
proffesor juji,It's ctrl + m to mute the game
whoisra,Gg
Squilliamy,"Congrats on 150K fuggboi, see you at 1 millioN!"
sketchins,fuck I'm early
John Serrano,Early squadd
none of your concern,So Helpful. Is jumping going up hill still in effect though?
Elijah Kyrillos,Didn't even realize this was a new video😂
Mikanoir,#instalike team where you at :D
Gustav Holst,"Grass is a fixed distance, so that tip was very misleading."
Frozto,:O
William Leo,gang gang
Göksu Can Yıldız,Hey fugg. Earlybird here! Love your vids ty for long and noice vid.
Ryan Salvador,"Thanks for the tips fuggboi.
Keep up the Good work.
Congrats for 150k"
Tsar Bomba,Wow just got back from a night out and BAM! A Fuggers video. Great timing!
Nitro,I think I just had an orgasm😍
AkinaZEW,Fugglet you are the best :D <3
Lucas Nicoara,Damn tutorialboi
universeClips,@Fugglet how did you learn to speak english so well? You speak it nearly flawless
SiDD,"Hey Fugglet would you accept my challenge, its called Allahu Akhbar (just kidding its called The Nader, you use only nades (flash,smokes for diversions) nades to only kill, no guns. You can take everything else except guns. you can do any type of gameplay, camper or aggresive up to you. Challenge accepted?"
Mr Freak,Fuggletman the PUBG King
Winged Knight,"Hey Fugglet, how many hours do you have on the game. Love the vids, keep up the good work😎"
Nitro,"Yas boi this is amazing, thank you for your dedication! Youve helped me get better at PUBG and made me laugh at the same time





#fuggnation"
Alexander Nielsen,"Awesome video, Congrats on 150k keep up the good work!!"
Kyle Graetz,Love your vids man keep up the good work on the road to a million subs ❤️
Neriya Kabiri,Love you!
Watsonnn,excellent video
Namyen TV,7th
Theultimatekiller,Love u fuggloman
MrLovaLova,FuggSquad
Experience,WE LOVE FUGGLET!!!!
Luke Roberts,gg
Tobias Hodne,Wow im early
